target_h3_index,assigned_lot_id,assigned_lot_name,target_ADM_NM,target_GU_NM,Ds,delivery_zone,drone_time_min,route_mean_constraint_score,airspace_approval_required,drone_direct_feasible_strict,robot_handoff_feasible
8930e152093ffff,204-2-000034,신흥제9공영주차장,성남동,중원구,0.5129422940779669,부적합,0.852886996815658,0.6443269236104684,True,False,True
8930e152097ffff,204-2-000034,신흥제9공영주차장,성남동,중원구,0.5129422940779669,부적합,0.8080794362947271,0.6184034939748561,True,False,True
8930e15209bffff,204-2-000034,신흥제9공영주차장,성남동,중원구,0.5129422940779669,부적합,1.1622618253968628,0.6455441292248807,True,False,True
8930e1520b3ffff,204-2-000034,신흥제9공영주차장,하대원동,중원구,0.2609272515073311,부적합,1.141881179359682,0.5960876830057459,True,False,True
8930e1522d3ffff,206-2-000003,야탑 제2환승,야탑3동,분당구,0.2899265421066042,부적합,0.9825457284320708,0.6818380427166294,True,False,True
8930e1522dbffff,206-2-000003,야탑 제2환승,야탑3동,분당구,0.2899265421066042,부적합,1.0943875733692174,0.6647537884797426,True,False,True
8930e152403ffff,204-2-000034,신흥제9공영주차장,수진1동,수정구,0.3742992232065798,부적합,0.8694481982409017,0.6651367457260218,True,False,True
8930e152407ffff,204-2-000034,신흥제9공영주차장,수진1동,수정구,0.3742992232065798,부적합,0.6008771234816979,0.6603400027981697,True,False,True
8930e15240bffff,204-2-000034,신흥제9공영주차장,수진2동,수정구,0.3244089278797707,부적합,1.0626005406796168,0.6508526336483932,True,False,True
8930e15240fffff,204-2-000034,신흥제9공영주차장,수진1동,수정구,0.3742992232065798,부적합,0.8054171857885125,0.6440811108436105,True,False,True
8930e152413ffff,204-2-000034,신흥제9공영주차장,태평1동,수정구,0.327805441111458,부적합,1.0167584497249422,0.6784069535751039,True,False,True
8930e152417ffff,204-2-000034,신흥제9공영주차장,태평3동,수정구,0.4906368021879245,부적합,0.7617184738200904,0.6789024497777141,True,False,True
8930e152423ffff,204-2-000034,신흥제9공영주차장,신흥1동,수정구,0.4619442280384485,부적합,0.3472915121967427,0.5957558230391766,True,False,True
8930e152427ffff,204-2-000034,신흥제9공영주차장,신흥3동,수정구,0.6379810132478028,부적합,0.2701767136281355,0.6534777774272882,True,False,True
8930e15242bffff,204-2-000034,신흥제9공영주차장,성남동,중원구,0.5129422940779669,부적합,0.6592676959379908,0.6476659851691585,True,False,True
8930e15242fffff,204-2-000034,신흥제9공영주차장,성남동,중원구,0.5129422940779669,부적합,0.5490546335014126,0.6474067266586062,True,False,True
8930e152433ffff,204-2-000034,신흥제9공영주차장,신흥1동,수정구,0.4619442280384485,부적합,0.332300413229791,0.6469219175781575,True,False,True
8930e152437ffff,204-2-000034,신흥제9공영주차장,신흥1동,수정구,0.4619442280384485,부적합,0.0638289327956046,0.5974770675227508,True,False,True
8930e15243bffff,204-2-000034,신흥제9공영주차장,신흥1동,수정구,0.4619442280384485,부적합,0.5590345229814132,0.621662728464937,True,False,True
8930e152463ffff,204-2-000034,신흥제9공영주차장,성남동,중원구,0.5129422940779669,부적합,1.1441676040480953,0.6569215802580454,True,False,True
8930e152467ffff,204-2-000034,신흥제9공영주차장,성남동,중원구,0.5129422940779669,부적합,0.9726936899989574,0.6711552503607408,True,False,True
8930e152473ffff,204-2-000034,신흥제9공영주차장,수진1동,수정구,0.3742992232065798,부적합,1.0648001870222918,0.6441722683499719,True,False,True
8930e152477ffff,204-2-000034,신흥제9공영주차장,수진1동,수정구,0.3742992232065798,부적합,0.8438529404858873,0.6326128374908013,True,False,True
8930e152487ffff,204-2-000034,신흥제9공영주차장,태평3동,수정구,0.4906368021879245,부적합,1.050538173378039,0.6349877237786162,True,False,True
8930e15248fffff,204-2-000034,신흥제9공영주차장,태평3동,수정구,0.4906368021879245,부적합,0.9848780255451725,0.6805496004405394,True,False,True
8930e1524a3ffff,204-2-000034,신흥제9공영주차장,태평2동,수정구,0.3500239964444031,부적합,0.6149617402771564,0.6162935494634424,True,False,True
8930e1524a7ffff,204-2-000034,신흥제9공영주차장,태평4동,수정구,0.6775996391710029,부적합,0.5465184573164842,0.6405088509819234,True,False,True
8930e1524abffff,204-2-000034,신흥제9공영주차장,태평2동,수정구,0.3500239964444031,부적합,0.520458911979931,0.6731788828866865,True,False,True
8930e1524afffff,204-2-000034,신흥제9공영주차장,태평2동,수정구,0.3500239964444031,부적합,0.3252818812496053,0.6498115883150231,True,False,True
8930e1524b3ffff,204-2-000034,신흥제9공영주차장,태평2동,수정구,0.3500239964444031,부적합,0.90618046146654,0.6106384501639213,True,False,True
8930e1524b7ffff,204-2-000034,신흥제9공영주차장,태평2동,수정구,0.3500239964444031,부적합,0.8264159467993589,0.6231450882639172,True,False,True
8930e1524bbffff,204-2-000034,신흥제9공영주차장,태평3동,수정구,0.4906368021879245,부적합,0.7758563758387298,0.6541054780521043,True,False,True
8930e152503ffff,204-2-000034,신흥제9공영주차장,신흥2동,수정구,0.357112249558172,부적합,1.010912528393307,0.5607481117825962,True,False,True
8930e15250bffff,204-2-000034,신흥제9공영주차장,신흥2동,수정구,0.357112249558172,부적합,0.8922631403191892,0.5782213157109395,True,False,True
8930e152513ffff,204-2-000034,신흥제9공영주차장,신흥2동,수정구,0.357112249558172,부적합,0.9426981805816652,0.5628790777473538,True,False,True
8930e15251bffff,204-2-000034,신흥제9공영주차장,신흥2동,수정구,0.357112249558172,부적합,0.7422533388530835,0.560709887478497,True,False,True
8930e152543ffff,204-2-000034,신흥제9공영주차장,중앙동,중원구,0.3028836789262165,부적합,0.684142561502568,0.6446112828701898,True,False,True
8930e152547ffff,204-2-000034,신흥제9공영주차장,중앙동,중원구,0.3028836789262165,부적합,0.8762764754106797,0.6243323243396486,True,False,True
8930e15254bffff,204-2-000034,신흥제9공영주차장,중앙동,중원구,0.3028836789262165,부적합,0.8502262522674283,0.6131632041005798,True,False,True
8930e15254fffff,204-2-000034,신흥제9공영주차장,중앙동,중원구,0.3028836789262165,부적합,0.9680477123008576,0.6283774226398251,True,False,True
8930e152553ffff,204-2-000034,신흥제9공영주차장,신흥3동,수정구,0.6379810132478028,부적합,0.4119405425095117,0.647341911970507,True,False,True
